Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cyle Larin,FW,ca Canada,27-242,1.be Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.16,0.34,0.49,0.16,0.49,Matches
Richie Laryea,"DF,MF",ca Canada,27-342,1.us Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.04,0.30,0.34,0.04,0.34,Matches
Darko Lazović,DF,rs Serbia,32-091,1.it Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
Rafael Leão,FW,pt Portugal,23-188,1.it Milan,1999,5,0,88,1.0,2,0,2,0,0,0,0,2.05,0.00,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57,Matches
Mathew Leckie,"MF,FW",au Australia,31-314,1.au Melb City,1991,4,4,333,3.7,1,1,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,0.1,0.1,0.3,0.5,0.04,0.08,0.12,0.04,0.12,Matches
Robert Lewandowski,FW,pl Poland,34-116,1.es Barcelona,1988,4,4,360,4.0,2,1,1,1,2,0,0,0.50,0.25,0.75,0.25,0.50,2.9,1.4,0.4,1.8,0.73,0.10,0.83,0.34,0.44,Matches
Matthijs de Ligt,DF,nl Netherlands,23-125,1.de Bayern Munich,1999,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jesper Lindstrøm,"MF,FW",dk Denmark,22-289,1.de Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.14,0.00,0.14,0.14,0.14,Matches
Marko Livaja,"FW,MF",hr Croatia,29-111,1.hr Hajduk Split,1993,5,2,176,2.0,1,0,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,0.8,0.8,0.0,0.8,0.43,0.02,0.44,0.43,0.44,Matches
Dominik Livaković,GK,hr Croatia,27-340,1.hr Dinamo Zagreb,1995,6,6,600,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marcos Llorente,DF,es Spain,27-319,1.es Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Hugo Lloris,GK,fr France,35-354,1.eng Tottenham,1986,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dejan Lovren,DF,hr Croatia,33-163,1.ru Zenit,1989,6,6,600,6.7,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.0,0.3,0.04,0.01,0.05,0.04,0.05,Matches
Hirving Lozano,FW,mx Mexico,27-138,1.it Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.2,0.07,0.36,0.42,0.07,0.42,Matches
Romelu Lukaku,FW,be Belgium,29-216,1.it Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.0,1.8,2.84,0.06,2.90,2.84,2.90,Matches
Saša Lukić,MF,rs Serbia,26-124,1.it Torino,1996,3,3,245,2.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
Ali Maâloul,DF,tn Tunisia,32-348,1.eg Al Ahly SC,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Awer Mabil,MF,au Australia,27-091,1.es Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alexis Mac Allister,MF,ar Argentina,23-356,1.eng Brighton,1998,5,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.5,1.1,0.14,0.11,0.25,0.14,0.25,Matches
Jamie Maclaren,FW,au Australia,29-139,1.au Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matches
Assim Madibo,MF,qa Qatar,26-054,1.qa Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Abdullah Madu,"DF,MF",sa Saudi Arabia,29-153,1.sa Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Daizen Maeda,FW,jp Japan,25-056,1.sct Celtic,1997,3,3,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.5,0.5,0.0,0.5,0.24,0.00,0.24,0.24,0.24,Matches
Harry Maguire,DF,eng England,29-285,1.eng Manchester Utd,1993,5,5,429,4.8,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.4,0.4,0.0,0.4,0.08,0.01,0.09,0.08,0.09,Matches
Lovro Majer,MF,hr Croatia,24-332,1.fr Rennes,1998,6,0,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,0.7,0.7,0.0,0.7,2.27,0.00,2.27,2.27,2.27,Matches
Nemanja Maksimović,MF,rs Serbia,27-323,1.es Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
Abdulellah Al-Malki,MF,sa Saudi Arabia,28-065,1.sa Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
Steve Mandanda,GK,fr France,37-262,1.fr Rennes,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
José María Giménez,DF,uy Uruguay,27-329,1.es Atlético Madrid,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
João Mário,"FW,MF",pt Portugal,29-330,1.pt Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marquinhos,DF,br Brazil,28-215,1.fr Paris S-G,1994,5,4,426,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.04,0.17,0.21,0.04,0.21,Matches
Henry Martín,FW,mx Mexico,30-027,1.mx América,1992,2,2,146,1.6,1,0,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,0.9,0.9,0.2,1.1,0.57,0.13,0.70,0.57,0.70,Matches
Martinelli,FW,br Brazil,21-180,1.eng Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.42,0.14,0.56,0.42,0.56,Matches
Carlos Martínez,DF,cr Costa Rica,23-260,1.cr AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Emiliano Martínez,GK,ar Argentina,30-104,1.eng Aston Villa,1992,6,6,570,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lautaro Martínez,FW,ar Argentina,25-115,1.it Inter,1997,5,2,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,1.3,0.59,0.02,0.61,0.59,0.61,Matches
Lisandro Martínez,DF,ar Argentina,24-331,1.eng Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.04,0.21,0.25,0.04,0.25,Matches
Pape Matar Sarr,MF,sn Senegal,20-092,1.eng Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.18,0.05,0.23,0.18,0.23,Matches
Rónald Matarrita,"DF,MF",cr Costa Rica,28-159,1.us FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Eric Maxim Choupo-Moting,"FW,MF",cm Cameroon,33-267,1.de Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.8,0.8,0.0,0.9,0.29,0.02,0.31,0.29,0.31,Matches
Noussair Mazraoui,DF,ma Morocco,25-031,1.de Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04,Matches
Kylian Mbappé,FW,fr France,23-360,1.fr Paris S-G,1998,6,5,478,5.3,5,2,5,0,0,0,0,0.94,0.38,1.32,0.94,1.32,3.4,3.4,1.3,4.8,0.64,0.25,0.90,0.64,0.90,Matches
Bryan Mbeumo,"FW,MF",cm Cameroon,23-130,1.eng Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19,Matches
Riley McGree,"FW,MF",au Australia,24-043,2.eng Middlesbrough,1998,4,4,265,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27,Matches
Weston McKennie,MF,us United States,24-109,1.it Juventus,1998,4,4,271,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.13,0.13,0.27,0.13,0.27,Matches
Hannibal Mejbri,MF,tn Tunisia,19-328,2.eng Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Memphis,FW,nl Netherlands,28-305,1.es Barcelona,1994,5,3,297,3.3,1,0,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.5,1.5,0.5,2.0,0.44,0.16,0.61,0.44,0.61,Matches
Nuno Mendes,DF,pt Portugal,20-179,1.fr Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
Jhegson Méndez,MF,ec Ecuador,25-233,1.us Los Angeles FC,1997,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
Edouard Mendy,GK,sn Senegal,30-289,1.eng Chelsea,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Nampalys Mendy,MF,sn Senegal,30-175,1.eng Leicester City,1992,4,3,272,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
Gideon Mensah,DF,gh Ghana,24-150,1.fr Auxerre,1998,1,1,87,1.0,0,1,0,0,0,0,0,0.00,1.03,1.03,0.00,1.03,0.0,0.0,0.3,0.3,0.00,0.28,0.28,0.00,0.28,Matches
Chris Mepham,DF,wls Wales,25-040,1.eng Bournemouth,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.07,0.07,0.00,0.07,Matches
Yassine Meriah,DF,tn Tunisia,29-166,1.tn Espérance de Tunis,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.04,0.02,0.04,Matches
Dries Mertens,"MF,FW",be Belgium,35-223,1.tr Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.94,0.17,1.11,0.94,1.11,Matches
Lionel Messi,FW,ar Argentina,35-174,1.fr Paris S-G,1987,6,6,570,6.3,5,3,2,3,4,1,0,0.79,0.47,1.26,0.32,0.79,4.7,1.6,2.2,3.8,0.79,0.37,1.16,0.26,0.63,Matches
Thomas Meunier,DF,be Belgium,31-094,1.de Dortmund,1991,3,2,211,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.09,0.21,0.30,0.09,0.30,Matches
Nikola Milenković,DF,rs Serbia,25-064,1.it Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
Arkadiusz Milik,"FW,MF",pl Poland,28-290,1.it Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31,Matches
Sergej Milinković-Savić,MF,rs Serbia,27-291,1.it Lazio,1995,3,3,233,2.6,1,0,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches
Vanja Milinković-Savić,GK,rs Serbia,25-298,1.it Torino,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Éder Militão,DF,br Brazil,24-331,1.es Real Madrid,1998,4,4,347,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.01,0.05,0.05,0.05,Matches
Liam Millar,DF,ca Canada,23-079,1.ch Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kamal Miller,DF,ca Canada,25-213,1.us CF Montréal,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kim Min-jae,DF,kr Korea Republic,26-030,1.it Napoli,1996,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Takumi Minamino,FW,jp Japan,27-333,1.fr Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.36,0.00,0.36,0.36,0.36,Matches
Kaoru Mitoma,MF,jp Japan,25-209,1.eng Brighton,1997,4,0,165,1.8,0,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,0.1,0.1,1.2,1.3,0.05,0.83,0.88,0.05,0.88,Matches
Aleksandar Mitrović,FW,rs Serbia,28-090,1.eng Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,1.6,1.6,0.7,2.4,0.57,0.24,0.81,0.57,0.81,Matches
Stefan Mitrović,DF,rs Serbia,32-207,1.es Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Mladenović,DF,rs Serbia,31-122,1.pl Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Luka Modrić,MF,hr Croatia,37-097,1.es Real Madrid,1985,6,6,563,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.1,0.06,0.13,0.18,0.06,0.18,Matches
Ismail Mohamad,FW,qa Qatar,32-254,1.qa Al Duhail SC,1990,2,2,174,1.9,0,1,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52,,,,,,,,,,Matches
Milad Mohammadi,DF,ir IR Iran,29-077,1.gr AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kudus Mohammed,"FW,MF",gh Ghana,22-135,1.nl Ajax,2000,3,3,247,2.7,2,0,2,0,0,1,0,0.73,0.00,0.73,0.73,0.73,0.8,0.8,0.0,0.8,0.30,0.00,0.30,0.30,0.30,Matches
Sadegh Moharrami,DF,ir IR Iran,26-289,1.hr Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nahuel Molina,DF,ar Argentina,24-253,1.es Atlético Madrid,1998,6,5,477,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,0.5,0.5,0.3,0.8,0.09,0.06,0.15,0.09,0.15,Matches
César Montes,DF,mx Mexico,25-294,1.mx Monterrey,1997,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,0.5,0.7,0.06,0.17,0.23,0.06,0.23,Matches
Gonzalo Montiel,"DF,MF",ar Argentina,25-348,1.es Sevilla,1997,3,1,88,1.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
Kim Moonhwan,DF,kr Korea Republic,27-136,1.kr Jeonbuk,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.15,0.15,0.00,0.15,Matches
Kieffer Moore,FW,wls Wales,30-129,1.eng Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.3,0.41,0.10,0.51,0.41,0.51,Matches
Shaquell Moore,DF,us United States,26-043,1.us Nashville,1996,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Mooy,MF,au Australia,32-091,1.sct Celtic,1990,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
Álvaro Morata,FW,es Spain,30-053,1.es Atlético Madrid,1992,4,1,185,2.1,3,1,3,0,0,0,0,1.46,0.49,1.95,1.46,1.95,1.4,1.4,0.2,1.6,0.79,0.14,0.93,0.79,0.93,Matches
Héctor Moreno,DF,mx Mexico,34-332,1.mx Monterrey,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.01,0.07,0.06,0.07,Matches
Hidemasa Morita,MF,jp Japan,27-219,1.pt Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
Joe Morrell,MF,wls Wales,25-346,3.eng Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Morris,"FW,DF",us United States,28-050,1.us Seattle,1994,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Youssoufa Moukoko,FW,de Germany,18-025,1.de Dortmund,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mason Mount,MF,eng England,23-339,1.eng Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.02,0.12,0.10,0.12,Matches
Youssef Msakni,"MF,FW",tn Tunisia,32-048,1.qa Al-Arabi SC,1990,2,2,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.2,0.29,0.34,0.62,0.29,0.62,Matches
Thomas Müller,"FW,MF",de Germany,33-093,1.de Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.14,0.28,0.42,0.14,0.42,Matches
Munir,GK,ma Morocco,33-219,1.sa Al-Wehda,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammed Muntari,"FW,MF",qa Qatar,28-360,1.qa Al Duhail SC,1993,3,0,63,0.7,1,0,1,0,0,0,0,1.43,0.00,1.43,1.43,1.43,0.2,0.2,0.0,0.2,0.30,0.03,0.33,0.30,0.33,Matches
Yunus Musah,MF,us United States,20-016,1.es Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.08,0.02,0.11,0.08,0.11,Matches
Jamal Musiala,"MF,FW",de Germany,19-292,1.de Bayern Munich,2003,3,3,258,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,1.9,1.9,0.9,2.8,0.67,0.30,0.97,0.67,0.97,Matches
Joakim Mæhle,DF,dk Denmark,25-209,1.it Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.01,0.03,Matches
Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27-305,1.tr Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
Yuto Nagatomo,"MF,DF",jp Japan,36-094,1.jp FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Sami Al-Najei,MF,sa Saudi Arabia,25-311,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Keylor Navas,GK,cr Costa Rica,36-000,1.fr Paris S-G,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Iliman Ndiaye,"FW,MF",sn Senegal,22-284,2.eng Sheffield Utd,2000,3,2,135,1.5,0,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,0.1,0.1,0.2,0.3,0.09,0.14,0.22,0.09,0.22,Matches
Victor Nelsson,DF,dk Denmark,24-062,1.tr Galatasaray,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Neuer,GK,de Germany,36-263,1.de Bayern Munich,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rúben Neves,MF,pt Portugal,25-277,1.eng Wolves,1997,5,4,268,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Neymar,MF,br Brazil,30-313,1.fr Paris S-G,1992,3,3,279,3.1,2,0,1,1,1,0,0,0.65,0.00,0.65,0.32,0.32,2.7,1.9,0.8,2.7,0.98,0.29,1.27,0.70,0.98,Matches
Moumi Ngamaleu,"FW,MF",cm Cameroon,28-159,1.ru Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.15,0.15,0.00,0.15,Matches
Jerome Ngom Mbekeli,MF,cm Cameroon,24-076,1.cm Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,2.23,2.23,0.00,2.23,Matches
Rasmus Nissen,DF,dk Denmark,25-157,1.eng Leeds United,1997,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Nicolas Nkoulou,DF,cm Cameroon,32-263,1.gr Aris,1990,2,2,180,2.0,0,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.3,0.3,0.0,0.3,0.14,0.00,0.14,0.14,0.14,Matches
Andries Noppert,GK,nl Netherlands,28-252,1.nl Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmad Nourollahi,MF,ir IR Iran,29-316,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
Olivier Ntcham,MF,cm Cameroon,26-309,2.eng Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.09,0.25,0.16,0.25,Matches
Matheus Nunes,MF,pt Portugal,24-110,1.eng Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.12,0.14,0.03,0.14,Matches
Darwin Núñez,FW,uy Uruguay,23-174,1.eng Liverpool,1999,3,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.14,0.09,0.23,0.14,0.23,Matches
