Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sofiane Boufal,FW,ma Morocco,29-089,1.fr Angers,1993,6,6,412,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.07,0.11,0.04,0.11,Matches
Yassine Bounou,GK,ma Morocco,31-254,1.es Sevilla,1991,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Braithwaite,"FW,MF",dk Denmark,31-193,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.12,0.18,0.06,0.18,Matches
Mohammed Al-Breik,DF,sa Saudi Arabia,30-091,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.0,0.0,0.1,0.51,0.07,0.58,0.03,0.10,Matches
Gleison Bremer,DF,br Brazil,25-272,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14,Matches
Dylan Bronn,DF,tn Tunisia,27-179,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
Marcelo Brozović,MF,hr Croatia,30-029,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.09,0.03,0.12,0.09,0.12,Matches
Tajon Buchanan,"MF,DF",ca Canada,23-310,1.be Club Brugge,1999,3,3,260,2.9,0,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.9,0.9,0.5,1.4,0.33,0.17,0.50,0.33,0.50,Matches
Ante Budimir,FW,hr Croatia,31-146,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.37,0.07,0.44,0.37,0.44,Matches
Osman Bukari,MF,gh Ghana,24-002,1.rs Red Star,1998,2,0,59,0.7,1,0,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,0.5,0.5,0.1,0.6,0.76,0.09,0.85,0.76,0.85,Matches
Ali Al-Bulaihi,DF,sa Saudi Arabia,33-024,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22-215,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches
Sergio Busquets,MF,es Spain,34-152,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches
Martín Cáceres,DF,uy Uruguay,35-252,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Moisés Caicedo,MF,ec Ecuador,21-043,1.eng Brighton,2001,3,3,269,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.0,0.5,0.17,0.00,0.17,0.17,0.17,Matches
Francisco Calvo,DF,cr Costa Rica,30-160,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Eduardo Camavinga,DF,fr France,20-035,1.es Real Madrid,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Joel Campbell,"FW,MF",cr Costa Rica,30-172,1.mx León,1992,3,3,269,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
João Cancelo,DF,pt Portugal,28-202,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Agustín Canobbio,MF,uy Uruguay,24-075,1.br Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yannick Carrasco,"FW,DF",be Belgium,29-102,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.22,0.00,0.22,0.22,0.22,Matches
Cameron Carter-Vickers,DF,us United States,24-349,1.sct Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dani Carvajal,DF,es Spain,30-338,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
William Carvalho,MF,pt Portugal,30-252,1.es Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Casemiro,MF,br Brazil,30-295,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.10,0.04,0.14,0.10,0.14,Matches
Matty Cash,DF,pl Poland,25-130,1.eng Aston Villa,1997,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.04,0.05,0.01,0.05,Matches
Timothy Castagne,DF,be Belgium,27-010,1.eng Leicester City,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Charles Castelletto,DF,cm Cameroon,27-323,1.fr Nantes,1995,2,2,180,2.0,1,1,1,0,0,0,0,0.50,0.50,1.00,0.50,1.00,0.9,0.9,0.3,1.2,0.47,0.15,0.62,0.47,0.62,Matches
Lucas Cavallini,FW,ca Canada,29-352,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Edinson Cavani,FW,uy Uruguay,35-304,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.21,0.50,0.71,0.21,0.71,Matches
